Before erosion ID,Initial X,Initial Y,Initial Z,Initial connectivity,Erosion state,Encoded erosion state,3 connectivity,1 connectivity,2 connectivity,4 connectivity,5 connectivity,Norm Initial X,Norm Initial Y,Norm Initial Z,Threshold Z,Norm2 Initial Z,Norm Connectivity,EffectivePassing,CloggingProb
1495,0.163,0.219,0.324248,0,ERODED,1,1,1,1,1,1,0.402434526,0.604874446,0.958212641,1,0.882997734,0,0.061371841,0
1498,0.304,0.0644,0.2808687,5,Not eroded,0,0,0,0,0,1,0.922537809,0.033973412,0.803892474,1,0.450909909,0.714285714,0,0.45247169
1501,0.202,0.0618,0.3219522,0,ERODED,1,1,1,1,1,1,0.546292881,0.02437223,0.950045422,1,0.860129978,0,0.083032491,0
1505,0.0981,0.284,0.2934077,2,Not eroded,0,1,0,1,1,1,0.163039469,0.844903988,0.848499477,1,0.57580702,0.285714286,0.274368231,0
1508,0.202,0.306,0.2791327,0,Not eroded,0,1,1,1,1,1,0.546292881,0.926144756,0.797716722,1,0.433618149,0,0,0.004692343
1509,0.3,0.251,0.251837,0,Not eroded,0,1,1,1,1,1,0.907783106,0.723042836,0.700613335,1,0.161734103,0,0,0.096259055
1511,0.19,0.225,0.302524,0,Not eroded,0,1,1,1,1,1,0.502028772,0.627031019,0.880930359,1,0.666611672,0,0.216606498,0
1513,0.225,0.0781,0.2549523,3,Not eroded,0,1,0,0,1,1,0.631132423,0.084564254,0.711695893,1,0.192764645,0.428571429,0,0.512319254
1514,0.325,0.235,0.2415847,3,Not eroded,0,1,0,0,1,1,1,0.663958641,0.664141178,1,0.059614105,0.428571429,0,0.196318666
1516,0.302,0.242,0.2475517,3,Not eroded,0,1,0,0,1,1,0.915160457,0.689807976,0.685368547,1,0.119049551,0.428571429,0,0.31530578
1528,0.219,0.255,0.2384817,4,Not eroded,0,0,0,0,1,1,0.609000369,0.737813885,0.653102376,1,0.02870608,0.571428571,0.790613718,0
1534,0.194,0.126,0.2454133,0,Not eroded,0,1,1,1,1,1,0.516783475,0.261447563,0.677761273,1,0.097749609,0,0.685920578,0
1538,0.308,0.325,0.2912558,0,ERODED,1,1,1,1,1,1,0.937292512,0.996307238,0.840844177,1,0.554372608,0,0.16967509,0
1544,0.0977,0.316,0.2934072,4,Not eroded,0,0,0,0,1,1,0.161563999,0.963072378,0.848497698,1,0.57580204,0.571428571,0,0.252291677
1549,0.295,0.317,0.297354,0,ERODED,1,1,1,1,1,1,0.889339727,0.96676514,0.862538285,1,0.615114897,0,0,0.183029495
1558,0.0638,0.317,0.2529131,0,Not eroded,0,1,1,1,1,1,0.03651789,0.96676514,0.704441518,1,0.172452803,0,0,0.001527853
1560,0.195,0.279,0.2621922,2,Not eroded,0,1,0,1,1,1,0.52047215,0.826440177,0.737451554,1,0.264879055,0.285714286,0.512635379,0
1563,0.31,0.221,0.2882462,3,Not eroded,0,1,0,0,1,1,0.944669864,0.61225997,0.830137642,1,0.524394911,0.428571429,0,0.933093058
1565,0.28,0.325,0.2840131,0,ERODED,1,1,1,1,1,1,0.834009591,0.996307238,0.815078554,1,0.482230308,0,0,0.388513622
1571,0.193,0.115,0.2495383,0,Not eroded,0,1,1,1,1,1,0.513094799,0.220827179,0.692435799,1,0.138837461,0,0.61732852,0
1572,0.224,0.085,0.325136,0,ERODED,1,1,1,1,1,1,0.627443748,0.110044313,0.961371666,1,0.891842828,0,0.0433213,0
1575,0.214,0.325,0.2361656,0,Not eroded,0,1,1,1,1,1,0.59055699,0.996307238,0.644862941,1,0.005636122,0,0.40433213,0
1576,0.273,0.18,0.2921475,0,Not eroded,0,1,1,1,1,1,0.80818886,0.460856721,0.844016365,1,0.563254557,0,0.299638989,0
1577,0.221,0.325,0.2844073,2,Not eroded,0,1,0,1,1,1,0.61637772,0.996307238,0.816480906,1,0.486156812,0.285714286,0,0.000486723
1578,0.316,0.0688,0.2411693,0,Not eroded,0,1,1,1,1,1,0.966801918,0.050221566,0.662663408,1,0.055476434,0,0.588447653,0
1592,0.287,0.167,0.3308368,0,ERODED,1,1,1,1,1,1,0.859830321,0.412850812,0.981652039,1,0.948626738,0,0.014440433,0
1595,0.204,0.301,0.2392553,0,Not eroded,0,1,1,1,1,1,0.553670232,0.907680945,0.655854428,1,0.036411671,0,0,0.003288231
1597,0.325,0.103,0.2811159,4,Not eroded,0,0,0,0,1,1,1,0.176514032,0.804771879,1,0.453372192,0.571428571,0,0.37115199
1599,0.288,0.161,0.2505865,4,Not eroded,0,0,0,0,1,1,0.863518997,0.390694239,0.69616473,1,0.149278258,0.571428571,0.649819495,0
1608,0.13,0.251,0.2934237,5,Not eroded,0,0,0,0,0,1,0.280708226,0.723042836,0.848556397,1,0.575966391,0.714285714,0.274368231,0.447323241
1614,0.293,0.242,0.2531656,4,Not eroded,0,0,0,0,1,1,0.881962376,0.689807976,0.705339777,1,0.174967877,0.571428571,0.429602888,0.163695404
1615,0.277,0.186,0.2821714,0,Not eroded,0,1,1,1,1,1,0.822943563,0.483013294,0.808526779,1,0.463885702,0,0,0.000458959
1616,0.298,0.314,0.2867016,0,ERODED,1,1,1,1,1,1,0.900405754,0.955686854,0.824642788,1,0.509009627,0,0,0.216194647
1617,0.0548,0.112,0.2912212,2,Not eroded,0,1,0,1,1,1,0.003319808,0.209748892,0.840721089,1,0.554027968,0.285714286,0,0.683444941
1618,0.116,0.316,0.2731805,5,Not eroded,0,0,0,0,0,1,0.229066765,0.963072378,0.776542003,1,0.374330121,0.714285714,0,0.409994814
1625,0.265,0.0742,0.3090019,0,ERODED,1,1,1,1,1,1,0.778679454,0.070162482,0.903975235,1,0.731136035,0,0,0.765779615
